hours_studied,sleep_hours,class_attendance,grade
9.77,6.3,4,13.5
3.8,6.71,3,11.0
9.23,4.52,4,11.5
2.62,6.04,5,10.5
3.19,7.21,2,8.5
1.18,6.87,3,8.0
2.42,5.12,5,10.5
3.19,6.35,4,9.5
9.64,6.38,4,12.5
2.64,7.5,2,8.0
4.41,7.42,5,12.5
6.1,5.84,2,9.0
8.64,8.02,4,14.0
8.64,7.58,4,13.5
6.75,7.46,2,10.5
6.6,5.49,3,10.5
7.36,6.16,3,11.0
2.23,8.16,4,9.5
1.72,5.64,3,8.5
8.7,5.02,6,13.0
0.6,5.48,3,3.5
6.84,6.41,5,16.5
6.71,5.76,6,17.0
6.11,7.94,3,11.0
0.6,7.29,4,6.5
9.78,7.25,4,14.5
4.39,6.14,4,11.5
5.33,8.89,6,14.0
0.03,7.56,3,7.5
2.51,8.63,3,8.0
8.58,9.33,3,10.5
4.25,5.76,6,13.0
7.36,5.98,4,12.5
9.22,6.92,3,13.0
1.53,7.64,5,10.0
9.92,8.79,5,14.0
1.82,5.94,2,6.0
9.4,5.84,3,11.0
0.87,7.47,4,8.5
4.68,5.67,5,12.0
8.29,7.94,4,15.5
2.81,9.91,4,9.5
8.69,10.0,2,9.5
9.76,6.28,4,14.5
8.42,4.98,4,11.0
4.49,7.73,6,14.5
3.71,3.73,5,8.5
4.83,8.99,5,12.0
0.92,7.25,4,7.0
2.27,5.22,5,9.0
5.37,6.84,4,13.0
7.33,7.61,5,16.0
4.49,6.52,2,9.0
3.06,5.63,5,10.0
9.47,8.06,4,13.5
7.51,6.57,5,18.0
4.72,6.82,1,8.0
4.57,8.71,3,10.0
7.46,4.82,4,11.5
8.55,6.98,3,14.0
2.94,7.19,5,11.5
7.33,6.36,2,11.5
8.09,9.53,4,13.0
8.87,8.3,4,13.5
0.25,8.58,4,6.0
5.13,6.49,4,11.0
6.13,5.88,2,10.0
2.8,5.82,6,13.5
4.52,6.39,3,10.5
5.31,3.94,3,6.5
9.89,8.26,3,12.5
0.06,5.85,5,8.5
2.01,6.7,5,7.0
2.57,4.34,1,3.0
3.41,7.36,2,7.5
0.53,7.12,5,10.0
3.26,3.93,5,9.0
1.98,5.52,6,10.5
8.29,8.78,6,15.0
6.37,7.41,3,12.5
0.85,5.86,5,6.5
2.2,6.61,4,10.0
6.81,5.99,5,18.0
1.34,6.76,4,8.0
9.57,7.53,5,18.0
1.37,7.62,5,10.5
7.98,5.96,5,19.0
4.98,8.1,4,13.5
3.05,6.95,5,11.0
2.34,3.3,4,4.5
8.93,6.04,4,12.5
3.78,8.82,3,9.0
0.76,6.37,4,8.0
0.34,5.79,5,6.5
4.62,7.05,5,12.5
8.74,7.13,4,13.0
3.51,5.37,4,9.0
8.24,6.09,5,16.5
9.47,7.98,6,19.0
0.67,8.93,3,7.0
2.98,6.88,4,10.0
6.19,8.67,4,11.5
3.02,7.77,6,12.5
1.75,8.09,6,10.0
4.96,5.26,3,9.5
7.61,5.99,4,12.5
6.87,8.9,5,13.5
2.48,5.88,4,8.0
6.22,7.57,4,12.0
3.16,6.67,5,12.0
2.77,6.64,6,14.0
9.3,6.37,4,15.0
2.8,6.01,5,12.0
9.49,8.74,4,13.5
2.02,7.48,1,7.5
5.65,5.76,5,12.0
3.8,5.87,5,13.5
8.08,4.3,4,11.5
1.28,7.0,2,6.0
9.51,7.06,5,19.0
7.29,7.03,3,12.0
1.76,7.94,6,13.0
6.93,7.84,4,13.0
0.93,7.11,3,7.0
5.56,5.8,4,11.5
1.02,6.32,2,4.0
0.44,7.69,5,9.0
3.93,7.28,5,13.0
6.91,5.43,5,12.5
7.27,8.39,4,12.5
6.69,6.32,5,17.5
5.92,5.69,2,9.5
8.79,6.07,5,16.5
5.38,5.28,3,9.0
0.98,6.39,5,9.5
1.41,8.54,6,11.5
9.62,5.48,2,11.5
7.98,7.83,3,13.5
0.07,6.2,5,8.0
9.46,7.9,5,18.5
6.55,6.92,5,17.0
9.11,6.82,3,12.0
1.53,7.9,5,8.5
5.89,8.74,4,13.0
5.04,5.76,5,12.0
1.74,7.65,5,10.5
0.63,7.17,6,10.5
6.65,5.58,6,15.5
0.32,6.05,3,7.5
2.38,6.62,5,12.0
5.15,4.56,5,11.5
6.02,7.76,5,17.0
2.83,6.96,4,10.5
8.43,5.28,5,13.5
8.95,6.98,4,13.5
7.23,5.95,5,17.5
9.27,8.43,5,17.0
0.59,6.96,6,9.5
0.5,7.63,4,6.5
1.24,6.91,4,8.0
1.22,8.09,4,8.0
5.31,6.8,3,11.0
9.13,7.75,6,20.0
1.82,7.62,4,10.0
9.91,7.45,5,17.5
8.8,6.87,6,20.0
3.23,8.02,3,8.5
1.91,5.65,4,9.0
4.97,6.72,2,10.5
3.14,6.73,4,9.5
0.3,7.53,6,9.5
0.93,7.08,5,8.0
5.89,7.02,6,16.5
6.34,7.7,3,12.0
9.66,8.32,4,14.5
0.15,4.6,4,6.0
7.33,6.13,0,8.0
6.33,6.9,5,17.0
5.02,9.71,6,13.5
1.21,6.72,4,6.5
8.58,7.02,5,19.0
7.02,6.57,4,13.5
5.69,7.82,4,12.5
9.81,5.94,5,18.0
0.9,5.75,4,8.0
7.27,7.64,4,13.0
4.89,8.36,2,9.5
2.8,7.05,3,9.5
8.85,6.61,3,13.0
8.08,8.76,3,12.5
4.39,5.33,5,11.5
6.42,7.61,4,14.0
6.31,4.88,3,9.0
0.08,8.0,6,10.0
2.22,7.32,5,10.5
2.17,5.86,4,8.5
2.2,6.68,3,9.5
7.41,7.01,4,13.5
9.42,7.0,3,13.5
2.66,5.93,5,11.0
7.47,5.76,4,11.5
0.02,7.07,3,5.0
8.09,8.14,5,17.5
8.07,7.36,4,13.0
0.55,6.02,4,7.5
0.99,6.13,3,8.5
5.53,8.01,6,14.5
7.63,6.61,1,9.5
7.31,10.0,5,13.0
6.82,6.44,3,11.0
7.63,6.05,4,12.5
5.99,6.0,5,13.0
2.35,5.27,5,10.0
0.28,9.21,2,4.5
9.12,10.0,4,12.5
4.14,5.77,6,11.5
7.23,7.03,5,16.5
2.66,7.33,4,10.5
9.8,7.43,5,18.0
1.78,7.15,4,8.5
0.47,6.87,5,7.5
4.94,6.86,4,12.5
3.71,4.67,5,9.5
6.56,7.85,3,12.5
0.0,8.16,5,7.5
1.43,10.0,2,6.0
8.59,5.68,1,7.0
6.83,4.75,6,11.5
3.32,7.15,5,12.0
0.25,6.32,4,6.5
0.42,9.35,5,7.5
3.9,4.44,5,10.0
9.43,6.4,5,16.0
9.19,7.26,4,14.5
3.15,7.48,2,9.0
3.72,5.4,5,9.5
2.67,8.67,6,12.0
1.42,8.4,4,9.0
5.92,8.27,6,14.5
4.63,6.85,3,10.0
8.35,6.5,5,18.0
4.95,6.28,5,13.0
0.18,8.28,4,7.0
4.38,6.11,4,13.0
1.34,7.23,3,7.0
3.32,7.39,6,12.5
5.01,7.52,2,9.5
5.43,8.08,3,10.5
6.95,7.03,1,9.0
9.64,6.2,2,11.0
3.75,7.11,2,7.5
7.55,5.46,6,13.0
5.28,7.91,3,11.5
8.65,6.04,6,16.5
5.61,8.44,4,11.5
3.82,8.33,3,9.5
5.0,6.6,4,10.5
5.3,7.54,5,13.5
9.86,7.18,6,18.0
0.61,6.12,5,8.5
0.45,7.28,4,8.0
1.94,6.97,2,7.5
0.04,7.98,5,7.0
1.06,5.88,3,7.5
3.94,8.16,5,11.5
2.05,9.28,1,6.0
4.82,8.45,5,11.5
8.45,5.98,5,18.5
6.38,7.27,5,18.0
7.67,5.99,4,12.5
8.31,6.43,5,16.5
1.27,6.66,4,6.5
0.44,8.85,3,6.0
4.48,4.39,3,9.0
4.67,5.21,3,10.0
9.6,7.13,6,20.0
2.58,4.73,3,6.5
4.44,5.49,4,9.5
5.59,6.91,5,13.5
8.5,5.96,4,13.5
1.25,8.89,3,6.5
9.29,4.67,4,11.0
5.8,7.75,3,10.0
4.63,7.19,4,10.5
4.43,5.08,4,10.5
0.5,7.82,5,5.5
2.75,6.97,4,11.5
6.2,6.29,2,10.0
9.19,7.25,4,12.5
9.21,7.24,4,16.5
2.56,6.09,5,11.5
5.36,8.79,4,12.0
3.06,7.56,4,12.5
3.68,6.63,5,12.0
3.51,6.07,5,11.5
